Index "Column Density" Temperature "Minimised Chi-Squared"
216 4.5345445807692582e+23 8.0 197183111.07176083
217 4.5345445807692582e+23 8.0 197183111.07176083
218 4.5345445807692582e+23 8.0 197183111.07176083
219 4.5345445807692582e+23 8.0 197183111.07176083
220 4.5345445807692582e+23 8.0 197183111.07176083
221 4.5345445807692582e+23 8.0 197183111.07176083
222 4.5345445807692582e+23 8.0 197183111.07176083
223 4.5345445807692582e+23 8.0 197183111.07176083
224 4.5345445807692582e+23 8.0 197183111.07176083
225 4.5345445807692582e+23 8.0 197183111.07176083
226 4.5345445807692582e+23 8.0 197183111.07176083
227 4.5345445807692582e+23 8.0 197183111.07176083
228 4.5345445807692582e+23 8.0 197183111.07176083
229 4.5345445807692582e+23 8.0 197183111.07176083
230 4.5345445807692582e+23 8.0 197183111.07176083
231 4.5345445807692582e+23 8.0 197183111.07176083
232 4.5345445807692582e+23 8.0 197183111.07176083
233 4.5345445807692582e+23 8.0 197183111.07176083
234 4.5345445807692582e+23 8.0 197183111.07176083
235 4.5345445807692582e+23 8.0 2338302.5903205615
236 4.5345445807692582e+23 8.0 455024.85345465969
237 4.5345445807692582e+23 8.0 333234.99821026309
238 4.5345445807692582e+23 8.0 167392.73297246077
239 4.5345445807692582e+23 8.0 77712.241764080216
240 4.5345445807692582e+23 8.0 54797.942309090082
241 4.5345445807692582e+23 8.0 48729.79131732427
242 4.5345445807692582e+23 8.0 40613.713216258395
243 4.5345445807692582e+23 8.0 35475.652925725619
244 4.5345445807692582e+23 8.0 33258.43745107259
245 4.5345445807692582e+23 8.0 31238.876542129936
246 4.5345445807692582e+23 8.0 29394.23428894781
247 4.5345445807692582e+23 8.0 28531.387270786054
248 4.5345445807692582e+23 8.0 27705.166389547157
249 4.5345445807692582e+23 8.0 27705.166389547157
250 4.5345445807692582e+23 8.0 27705.166389547157
251 4.5345445807692582e+23 8.0 27705.166389547157
252 4.5345445807692582e+23 8.0 27705.166389547157
253 4.5345445807692582e+23 8.0 29394.23428894781
254 4.5345445807692582e+23 8.0 30295.97326650047
255 4.5345445807692582e+23 8.0 31238.876542129936
