Index "Column Density" Temperature "Minimised Chi-Squared" "One-Sigma N" "One-Sigma T" "Two-Sigma N" "Two-Sigma T" "Three-Sigma N" "Three-Sigma T"
58 4.8241087041653535e+18 9.467336683417086 0.055014837737214814 9.3433688040146514e+18 4.1708542713567844 2.3099390260509196e+19 7.3366834170854283 4.0351826652960834e+19 10.0
59 5.1114334834401864e+18 9.4170854271356781 0.066371642563085947 9.2155442495151299e+18 4.0703517587939704 2.3023447980024185e+19 7.1356783919598001 4.0269056032394715e+19 10.0
60 5.415871378079487e+18 9.316582914572864 0.072251080266690054 9.6209192091571528e+18 3.9195979899497493 2.4309470718355821e+19 6.8341708542713562 4.017613212409163e+19 9.5979899497487438
61 5.7384416483024046e+18 9.2663316582914579 0.092191291048265039 1.0193942882070002e+19 3.7688442211055291 2.4219134788565107e+19 6.5829145728643219 4.2515359969829372e+19 9.1457286432160814
62 6.0802242616494275e+18 9.1658291457286438 0.11462351361948983 1.0801095947671857e+19 3.6683417085427141 2.5560213561354596e+19 6.3819095477386938 4.2398240262045049e+19 8.7939698492462313
63 6.4423635087213701e+18 9.0653266331658298 0.15252582027198153 1.0630392446584654e+19 3.6180904522613071 2.7082584463442997e+19 6.2814070351758788 4.2334398222907073e+19 8.5929648241206031
64 6.4423635087213701e+18 9.0653266331658298 0.17464922819734319 1.1444411158709912e+19 3.5678391959798992 2.7082584463442997e+19 6.1809045226130666 4.4855842570673357e+19 8.4924623115577891
65 6.4423635087213701e+18 9.0653266331658298 0.17188531479415453 1.1444411158709912e+19 3.5678391959798992 2.7082584463442997e+19 6.1809045226130666 4.4855842570673357e+19 8.4924623115577891
66 6.4423635087213701e+18 9.0653266331658298 0.14728937684747695 1.0630392446584654e+19 3.5678391959799001 2.5452755895360967e+19 6.2311557788944718 4.2334398222907073e+19 8.5929648241206031
67 6.0802242616494275e+18 9.1658291457286438 0.10947160458899846 1.0801095947671857e+19 3.7185929648241203 2.5560213561354596e+19 6.3819095477386938 4.2398240262045049e+19 8.8442211055276392
68 5.415871378079487e+18 9.3668341708542719 0.088199801674142625 1.0193942882070002e+19 3.7688442211055291 2.4219134788565107e+19 6.5326633165829149 4.2515359969829372e+19 9.1959798994974875
69 5.1114334834401864e+18 9.467336683417086 0.068766242697369737 9.6209192091571528e+18 3.8693467336683423 2.4309470718355821e+19 6.8341708542713571 4.017613212409163e+19 9.5979899497487438
70 5.1114334834401864e+18 9.4170854271356781 0.061176970416769783 9.2155442495151299e+18 4.0703517587939704 2.3023447980024185e+19 7.0854271356783931 4.0269056032394715e+19 10.0
71 4.8241087041653535e+18 9.467336683417086 0.051606259662173311 9.3433688040146514e+18 4.1708542713567844 2.3099390260509196e+19 7.3366834170854283 4.031163815961215e+19 10.0
72 4.5529350748669384e+18 9.5678391959799001 0.048254085839317368 9.3433688040146514e+18 4.2713567839195976 2.4622809766049161e+19 7.5879396984924625 4.0389756063800041e+19 10.0
73 4.5529350748669384e+18 9.5175879396984921 0.050426469074118463 9.4640080626423869e+18 4.4221105527638205 2.4690454248483643e+19 7.7889447236180915 3.8119360139918533e+19 10.0
74 4.2970047043208351e+18 9.5678391959799001 0.050960594096869004 9.5778659264873656e+18 4.5728643216080398 2.6352761990980456e+19 8.0904522613065346 3.8153145211276378e+19 10.0
75 4.2970047043208351e+18 9.5175879396984921 0.047935734691578392 9.7867408296471634e+18 4.7236180904522618 2.6409628359325856e+19 8.4924623115577891 3.8185031150384497e+19 10.0
76 4.0554607358408279e+18 9.5678391959799001 0.039312984453587371 9.2366068686344479e+18 4.9246231155778899 2.8143779604648423e+19 8.9447236180904532 3.6066969539801174e+19 10.0
77 3.8274944785163151e+18 9.6180904522613062 0.036165588397509829 9.4122007493726044e+18 5.1758793969849251 2.8279285640168935e+19 9.3467336683417095 3.6093774942002573e+19 10.0
78 3.612342699709438e+18 9.6683417085427141 0.038895664862470439 9.4926661656980562e+18 5.4271356783919611 2.8357403544356835e+19 9.7487437185929657 3.6142950076682772e+19 10.0
79 3.4092850697468216e+18 9.7185929648241203 0.047938266351363334 9.6402818461185024e+18 5.6281407035175883 2.8426985931979493e+19 10.0 3.4111276342344475e+19 10.0
80 3.2176417502507484e+18 9.7688442211055282 0.061437145000112131 9.7079263285529846e+18 5.9296482412060305 2.8488965432295125e+19 10.0 3.4152616171130474e+19 10.0
